feature,shap_importance
conso_exurb,0.36366224
conso_mixte,0.25901622
nox,0.036291465
masse_ordma_max,0.032807313
conso_urb,0.02979172
cod_cbr,0.016291747
puiss_admin_98,0.012573353
co_typ_1,0.010180198
masse_ordma_min,0.005549592
lib_mod_doss,0.0040938547
typ_boite_nb_rapp,0.0032437113
puiss_max,0.0032082044
gamme,0.0014484759
champ_v9,0.001276276
lib_mrq,0.0010652493
dscom,0.0010315157
lib_mod,0.0008560884
hybride,0.0006369562
ptcl,0.00061275746
Carrosserie,0.0005469505
tvv_906ac35,0.00010385683
tvv_639,4.2443535e-05
tvv_0g,2.3066403e-05
tvv_xe2,1.6894186e-05
tvv_betqhw,1.4666406e-05
tvv_2h,1.0210139e-05
tvv_gyl15,9.825326e-06
tvv_ps,9.8178e-06
tvv_1k,8.77755e-06
tvv_ukl,8.4059e-06
tvv_ea,8.400941e-06
tvv_bexqbw,7.6002125e-06
cnit_m10fatvp0262849,7.374454e-06
cnit_m10fatvp0265852,6.964182e-06
tvv_1e,5.881075e-06
tvv_gwl10,5.7410157e-06
tvv_ahxebw,5.042396e-06
tvv_3l,3.6716924e-06
tvv_ave30r,3.2353937e-06
tvv_awl10,3.1770367e-06
tvv_nlp130l,2.8576715e-06
tvv_bexehw,2.460465e-06
tvv_usf40,2.4379542e-06
tvv_e15ut,2.3153339e-06
tvv_mh,2.076838e-06
tvv_1s,1.9590427e-06
tvv_ksp130l,1.596246e-06
tvv_mc,1.5178634e-06
tvv_bexqhw,1.3861296e-06
tvv_2g,1.3423934e-06
tvv_1g,1.3351473e-06
tvv_aexlhw,1.2577121e-06
cnit_m10pelvp1980112,1.1945264e-06
cnit_m10mcdvpgw7d756,1.0823277e-06
tvv_xa3,1.0807327e-06
cnit_m10mcdvpgw71744,8.041741e-07
cnit_m10mcdvpgw74747,8.041431e-07
tvv_aezghw,6.850509e-07
cnit_m10mcdvpgw7b427,6.2579494e-07
cnit_m10mcdvpgw7h433,6.251932e-07
cnit_m10dacvp0008731,6.1746704e-07
tvv_a10,5.8734236e-07
cnit_m10mcdvpgw7j725,5.764199e-07
cnit_m10mcdvpgw7j495,5.17241e-07
cnit_m10mcdvpgw7h494,4.721267e-07
tvv_2j,4.6823877e-07
tvv_gyl10,4.6510607e-07
tvv_2l,4.4984498e-07
tvv_3k,3.584517e-07
tvv_2e,3.5720757e-07
tvv_nsp120l,3.3466603e-07
tvv_hs19,2.7587552e-07
cnit_m10alfvp000p445,2.665331e-07
tvv_1l,2.4951714e-07
tvv_aexghw,1.8487019e-07
cnit_m10mcdvpgw7j471,1.8173318e-07
cnit_m10fatvp0008360,1.3902931e-07
cnit_m10mcdvpgw7f589,9.4741395e-08
cnit_m10mcdvpgw7g565,9.185905e-08
cnit_m10mcdvpgw74553,9.136538e-08
cnit_m10pelvp253j535,8.4798806e-08
tvv_zsa44,7.693771e-08
tvv_awl10l,7.169755e-08
cnit_m10mcdvpgw7j470,6.871544e-08
tvv_1ps,5.8378017e-08
tvv_uvf45,3.9657234e-08
cnit_m10mcdvpgw7j302,3.6265575e-08
tvv_1f,1.0987822e-08
tvv_gyl10r,0.0
tvv_gse30,0.0
tvv_gse20l,0.0
tvv_gse20r,0.0
cnit_m10mcdvpgw70549,0.0
tvv_gwl10l,0.0
tvv_gyl15r,0.0
cnit_m10mcdvpgw70416,0.0
tvv_gwl10r,0.0
cnit_m10mcdvpgw70452,0.0
tvv_gse20,0.0
cnit_m10mcdvpgw7d587,0.0
tvv_grl11r,0.0
cnit_m10mcdvpgw70707,0.0
tvv_awl10r,0.0
tvv_awxgkw,0.0
cnit_m10mcdvpgw71708,0.0
cnit_m10mcdvpgw71647,0.0
cnit_m10mcdvpgw71611,0.0
cnit_m10mcdvpgw71514,0.0
cnit_m10mcdvpgw70646,0.0
tvv_grl11,0.0
tvv_eb,0.0
tvv_et,0.0
tvv_f4,0.0
tvv_fa10lfa10,0.0
tvv_hal1,0.0
tvv_fezrhw,0.0
tvv_fcrafw,0.0
cnit_m10mcdvpgu4z323,0.0
tvv_hc,0.0
tvv_vh2,0.0
cnit_m10fatvp001j854,0.0
tvv_usf40r,0.0
tvv_uvf45r,0.0
tvv_uvf46,0.0
tvv_uvf46r,0.0
tvv_uxe2,0.0
cnit_m10alfvp0000324,0.0
tvv_he15u,0.0
tvv_xp12,0.0
tvv_xp13m,0.0
tvv_zsa44l,0.0
tvv_zwa10,0.0
tvv_zwa10l,0.0
tvv_zwa10r,0.0
tvv_use20,0.0
cnit_m10fatvp001k565,0.0
tvv_s19,0.0
cnit_m10fatvp001m592,0.0
tvv_phantom,0.0
cnit_m10fatvp007r335,0.0
tvv_nlp13f,0.0
cnit_m10fatvp026f862,0.0
cnit_m10lncvp000r207,0.0
tvv_mg,0.0
cnit_m10mcdvp3243293,0.0
tvv_lfa10r,0.0
tvv_lfa10l,0.0
tvv_ksp13f,0.0
cnit_m10mcdvp324e534,0.0
cnit_m10mcdvpgw72454,0.0
tvv_hf4,0.0
cnit_m10mcdvpgw72418,0.0
tvv_ahxbbw,0.0
tvv_ave30,0.0
cnit_m10mcdvpgw7g590,0.0
cnit_m10mcdvpgw7c586,0.0
cnit_m10mcdvpgw7c622,0.0
cnit_m10mcdvpgw7j435,0.0
cnit_m10mcdvpgw7j434,0.0
cnit_m10mcdvpgw7h785,0.0
cnit_m10mcdvpgw7h724,0.0
cnit_m10mcdvpgw7h663,0.0
cnit_m10mcdvpgw7h566,0.0
cnit_m10mcdvpgw7c658,0.0
cnit_m10mcdvpgw7h469,0.0
cnit_m10mcdvpgw7c719,0.0
cnit_m10mcdvpgw7g687,0.0
cnit_m10mcdvpgw7g662,0.0
cnit_m10mcdvpgw7g626,0.0
cnit_m10mcdvpgw7g493,0.0
cnit_m10mcdvpgw7j568,0.0
cnit_m10mcdvpgw7g468,0.0
cnit_m10mcdvpgw7f783,0.0
cnit_m10mcdvpgw7f722,0.0
cnit_m10mcdvpgw7f661,0.0
cnit_m10mcdvpgw7f625,0.0
cnit_m10mcdvpgw7f564,0.0
cnit_m10mcdvpgw7f492,0.0
cnit_m10mcdvpgw7e757,0.0
cnit_m10mcdvpgw7e685,0.0
cnit_m10mcdvpgw7e588,0.0
cnit_m10mcdvpgw7e563,0.0
cnit_m10mcdvpgw7e527,0.0
cnit_m10mcdvpgw7e430,0.0
cnit_m10mcdvpgw7c780,0.0
cnit_m10mcdvpgw7j567,0.0
cnit_m10mcdvpgw7j592,0.0
tvv_ale20,0.0
cnit_m10mcdvpgw73746,0.0
cnit_m10mcdvpgw72551,0.0
cnit_m10mcdvpgw7d684,0.0
cnit_m10mcdvpgw72612,0.0
cnit_m10mcdvpgw72648,0.0
cnit_m10mcdvpgw72709,0.0
tvv_aetlhw,0.0
cnit_m10mcdvpgw73419,0.0
cnit_m10mcdvpgw73455,0.0
cnit_m10mcdvpgw73516,0.0
cnit_m10mcdvpgw73552,0.0
cnit_m10mcdvpgw73649,0.0
tvv_3e,0.0
cnit_m10mcdvpgw73710,0.0
tvv_2k,0.0
cnit_m10mcdvpgw74456,0.0
cnit_m10mcdvpgw7j629,0.0
tvv_2f,0.0
cnit_m10mcdvpgw75615,0.0
cnit_m10mcdvpgw75712,0.0
cnit_m10mcdvpgw76458,0.0
cnit_m10mcdvpgw76616,0.0
tvv_1j,0.0
cnit_m10mcdvpgw7b488,0.0
cnit_m10mcdvpgw7b524,0.0
tvv_1a,0.0
cnit_m10mcdvpgw7c428,0.0
tvv_00,0.0
cnit_m10mcdvpgw7c464,0.0
cnit_m10mcdvpgw7c561,0.0
cnit_m10mcdvpgw7j690,0.0
tvv_zwe186,0.0
